Video,Frame,PSNR,SSIM,MSE,RMSE,MAE,NRMSE,Correlation,GMS,Edge_Similarity,LPIPS,VMAF
4Mbit_Loss1_Fortnite,87,14.206901,0.656550,2468.256529,49.681551,27.887664,0.726511,0.451899,0.492055,0.161794,0.544997,6.164980
4Mbit_Loss1_Fortnite,88,14.194960,0.655862,2475.052343,49.749898,28.129182,0.731653,0.450708,0.501179,0.161756,0.543267,4.640671
4Mbit_Loss1_Fortnite,89,14.105816,0.654246,2526.380636,50.263114,28.627163,0.735446,0.445145,0.488693,0.159995,0.549341,3.427515
4Mbit_Loss1_Fortnite,90,13.607161,0.560731,2833.767752,53.233145,31.886434,0.778490,0.362297,0.447809,0.093379,0.611707,0.000000
4Mbit_Loss1_Fortnite,91,13.516745,0.549641,2893.382613,53.790172,32.708168,0.793995,0.344139,0.432848,0.092146,0.639173,0.000000
4Mbit_Loss1_Fortnite,92,13.521425,0.551353,2890.266612,53.761200,32.712509,0.799624,0.347815,0.444928,0.093313,0.637634,0.000000
4Mbit_Loss1_Fortnite,93,13.404770,0.541880,2968.952946,54.488099,34.002653,0.809185,0.335600,0.436170,0.094742,0.653287,0.259589
4Mbit_Loss1_Fortnite,94,13.322522,0.540853,3025.716063,55.006509,34.541683,0.821994,0.335293,0.441195,0.094301,0.646552,0.000000
4Mbit_Loss1_Fortnite,95,13.465346,0.533449,2927.829224,54.109419,34.907166,0.827561,0.358940,0.435195,0.093410,0.655606,0.000000
4Mbit_Loss1_Fortnite,96,13.370296,0.525274,2992.614282,54.704792,36.159424,0.856420,0.360964,0.445657,0.093785,0.665479,0.000000
