ID,command,encrypted_cmd
102,{'axes': {'0': 0.062774658203125, '1': 0.33038330078125, '2': -1.0, '3': 0.039825439453125, '4': 0.035858154296875, '5': -1.0, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},305139c1d5ba70f33e58341d97034ad016d0b24d13323804e0014d06466c85723e6c47195e7bf3a34902b2d04c
106,{'axes': {'0': -0.40478515625, '1': 0.999969482421875, '2': -1.0, '3': 0.999969482421875, '4': 0.10638427734375, '5': -1.0, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},e73fecbdaba39d81ff66531d64985f9243b45cf709fc4b327fc6083a072337c34501f1773fe935973c2e789d92
106,{'axes': {'0': -0.40478515625, '1': 0.999969482421875, '2': -1.0, '3': 0.999969482421875, '4': 0.10638427734375, '5': -1.0, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},e73fecbdaba39d81ff66531d64985f9243b45cf709fc4b327fc6083a072337c34501f1773fe935973c2e789d92
111,{'axes': {'0': -0.273590087890625, '1': 0.999969482421875, '2': -1.0, '3': 0.999969482421875, '4': 0.109161376953125, '5': -1.0, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},7ebcb879ffd1e8824a132b1a051de7705f2c716e662a9dd81ef70921038e4de3fd4e12019e14b5e46fa6037d20
111,{'axes': {'0': -0.273590087890625, '1': 0.999969482421875, '2': -1.0, '3': 0.999969482421875, '4': 0.109161376953125, '5': -1.0, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},7ebcb879ffd1e8824a132b1a051de7705f2c716e662a9dd81ef70921038e4de3fd4e12019e14b5e46fa6037d20
115,{'axes': {'0': 0.999969482421875, '1': 0.541015625, '2': -1.0, '3': 0.999969482421875, '4': 0.109161376953125, '5': -1.0, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},0dead6d7d6ffae85ad5e6a5f7d68570baebc68866acfddcbcedfc9d299bc6253ddd0e97650cfa4cf1e3cb2319a
115,{'axes': {'0': 0.999969482421875, '1': 0.541015625, '2': -1.0, '3': 0.999969482421875, '4': 0.109161376953125, '5': -1.0, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},0dead6d7d6ffae85ad5e6a5f7d68570baebc68866acfddcbcedfc9d299bc6253ddd0e97650cfa4cf1e3cb2319a
119,{'axes': {'0': 0.87371826171875, '1': -0.79327392578125, '2': -1.0, '3': 0.999969482421875, '4': -0.05328369140625, '5': -1.0, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},47ccee24cacac1969c13b13dafc8f85ca7793c1805467441c87984830c546f2ef36552fe0d5b4ecec203ba7829
119,{'axes': {'0': 0.87371826171875, '1': -0.79327392578125, '2': -1.0, '3': 0.999969482421875, '4': -0.05328369140625, '5': -1.0, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},47ccee24cacac1969c13b13dafc8f85ca7793c1805467441c87984830c546f2ef36552fe0d5b4ecec203ba7829
123,{'axes': {'0': 0.068817138671875, '1': -1.0, '2': -1.0, '3': 0.665130615234375, '4': -0.338531494140625, '5': -1.0, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},c1a831333d7da5f3fe931e2f933cdf2acd869af623db26ba4fe9bf009b95add31d5b4b637def5025f956afc66d
123,{'axes': {'0': 0.068817138671875, '1': -1.0, '2': -1.0, '3': 0.665130615234375, '4': -0.338531494140625, '5': -1.0, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},c1a831333d7da5f3fe931e2f933cdf2acd869af623db26ba4fe9bf009b95add31d5b4b637def5025f956afc66d
127,{'axes': {'0': 0.37408447265625, '1': -1.0, '2': -1.0, '3': 0.07525634765625, '4': -0.025421142578125, '5': -1.0, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},b2f0c21ffedc91fc102fd02fccb32e801854c4a169d8c1b7e05cdc70016ae93e785e0955d216a13c47bf837b32
127,{'axes': {'0': 0.37408447265625, '1': -1.0, '2': -1.0, '3': 0.07525634765625, '4': -0.025421142578125, '5': -1.0, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},b2f0c21ffedc91fc102fd02fccb32e801854c4a169d8c1b7e05cdc70016ae93e785e0955d216a13c47bf837b32
131,{'axes': {'0': -0.05499267578125, '1': -1.0, '2': -1.0, '3': 0.05889892578125, '4': -0.005950927734375, '5': -1.0, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},72cf02d61b32a99da36ccfe138aff1e6db682c2c685c5a370fa8c0adfc4a014622ab03578400017159b4d1d4fd
131,{'axes': {'0': -0.05499267578125, '1': -1.0, '2': -1.0, '3': 0.05889892578125, '4': -0.005950927734375, '5': -1.0, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},72cf02d61b32a99da36ccfe138aff1e6db682c2c685c5a370fa8c0adfc4a014622ab03578400017159b4d1d4fd
136,{'axes': {'0': 0.999969482421875, '1': 0.283905029296875, '2': -1.0, '3': 0.698211669921875, '4': 0.833160400390625, '5': -1.0, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},d02ff9dc890ddf2bd0cfc9231f212643fcd3f2aa83938924dbca4ea6c96de6432ac4aa9a1c56bd6fb5c5254625
136,{'axes': {'0': 0.999969482421875, '1': 0.283905029296875, '2': -1.0, '3': 0.698211669921875, '4': 0.833160400390625, '5': -1.0, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},d02ff9dc890ddf2bd0cfc9231f212643fcd3f2aa83938924dbca4ea6c96de6432ac4aa9a1c56bd6fb5c5254625
139,{'axes': {'0': 0.369720458984375, '1': -0.164825439453125, '2': -1.0, '3': 0.903106689453125, '4': 0.57623291015625, '5': -1.0, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},f7f500b1ceb3653f9f5cfa51d77ccca79f40663c02664663dd4c5e821206485c07f125251110827a619787f3be
