ID,command,encrypted_cmd
187,{'axes': {'0': 0.1112060546875, '1': 0.015106201171875, '2': -1.0, '3': 0.064361572265625, '4': -0.003265380859375, '5': 0.999969482421875, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},e0ffdcd014520697fe8c07521c115f9e07adb36a572a9934bc86faccb3a762b622723677426ffd017166f664dd
191,{'axes': {'0': 0.1112060546875, '1': 0.015106201171875, '2': -1.0, '3': 0.064361572265625, '4': -0.003265380859375, '5': 0.999969482421875, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},e0ffdcd014520697fe8c07521c115f9e07adb36a572a9934bc86faccb3a762b622723677426ffd017166f664dd
195,{'axes': {'0': 0.1112060546875, '1': 0.015106201171875, '2': -1.0, '3': 0.064361572265625, '4': -0.003265380859375, '5': 0.999969482421875, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},e0ffdcd014520697fe8c07521c115f9e07adb36a572a9934bc86faccb3a762b622723677426ffd017166f664dd
199,{'axes': {'0': 0.1112060546875, '1': 0.015106201171875, '2': -1.0, '3': 0.064361572265625, '4': -0.003265380859375, '5': 0.999969482421875, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},e0ffdcd014520697fe8c07521c115f9e07adb36a572a9934bc86faccb3a762b622723677426ffd017166f664dd
203,{'axes': {'0': 0.1112060546875, '1': 0.015106201171875, '2': -1.0, '3': 0.064361572265625, '4': -0.003265380859375, '5': 0.999969482421875, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},e0ffdcd014520697fe8c07521c115f9e07adb36a572a9934bc86faccb3a762b622723677426ffd017166f664dd
207,{'axes': {'0': 0.1112060546875, '1': 0.015106201171875, '2': -1.0, '3': 0.064361572265625, '4': -0.003265380859375, '5': 0.999969482421875, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},e0ffdcd014520697fe8c07521c115f9e07adb36a572a9934bc86faccb3a762b622723677426ffd017166f664dd
211,{'axes': {'0': 0.1112060546875, '1': 0.015106201171875, '2': -1.0, '3': 0.064361572265625, '4': -0.003265380859375, '5': 0.999969482421875, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},e0ffdcd014520697fe8c07521c115f9e07adb36a572a9934bc86faccb3a762b622723677426ffd017166f664dd
216,{'axes': {'0': 0.1112060546875, '1': 0.015106201171875, '2': -1.0, '3': 0.064361572265625, '4': -0.003265380859375, '5': 0.999969482421875, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},e0ffdcd014520697fe8c07521c115f9e07adb36a572a9934bc86faccb3a762b622723677426ffd017166f664dd
219,{'axes': {'0': 0.1112060546875, '1': 0.015106201171875, '2': -1.0, '3': 0.064361572265625, '4': -0.003265380859375, '5': 0.999969482421875, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},e0ffdcd014520697fe8c07521c115f9e07adb36a572a9934bc86faccb3a762b622723677426ffd017166f664dd
223,{'axes': {'0': 0.1112060546875, '1': 0.015106201171875, '2': -1.0, '3': 0.064361572265625, '4': -0.003265380859375, '5': 0.999969482421875, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},e0ffdcd014520697fe8c07521c115f9e07adb36a572a9934bc86faccb3a762b622723677426ffd017166f664dd
228,{'axes': {'0': 0.1112060546875, '1': 0.015106201171875, '2': -1.0, '3': 0.064361572265625, '4': -0.003265380859375, '5': 0.999969482421875, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},e0ffdcd014520697fe8c07521c115f9e07adb36a572a9934bc86faccb3a762b622723677426ffd017166f664dd
232,{'axes': {'0': 0.05230712890625, '1': 0.015106201171875, '2': -1.0, '3': 0.064361572265625, '4': -0.003265380859375, '5': 0.999969482421875, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},c36380aa07a4edc266a03b47319a43daf9bca87c7c1a3b73cf576341e1b18780f1ea77d22ac42f675a990cabf5
232,{'axes': {'0': 0.05230712890625, '1': 0.015106201171875, '2': -1.0, '3': 0.064361572265625, '4': -0.003265380859375, '5': 0.999969482421875, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},c36380aa07a4edc266a03b47319a43daf9bca87c7c1a3b73cf576341e1b18780f1ea77d22ac42f675a990cabf5
236,{'axes': {'0': 0.045654296875, '1': 0.015106201171875, '2': -1.0, '3': 0.064361572265625, '4': -0.003265380859375, '5': 0.999969482421875, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},e503673473b7501a3851622abd070ee626305a717d0c7ce8c008ae2b96ab3ec68ba0f5075b4c77e0bb33c703e3
236,{'axes': {'0': 0.045654296875, '1': 0.015106201171875, '2': -1.0, '3': 0.064361572265625, '4': -0.003265380859375, '5': 0.999969482421875, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},e503673473b7501a3851622abd070ee626305a717d0c7ce8c008ae2b96ab3ec68ba0f5075b4c77e0bb33c703e3
240,{'axes': {'0': 0.045654296875, '1': 0.015106201171875, '2': -1.0, '3': 0.064361572265625, '4': -0.003265380859375, '5': 0.999969482421875, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},e503673473b7501a3851622abd070ee626305a717d0c7ce8c008ae2b96ab3ec68ba0f5075b4c77e0bb33c703e3
244,{'axes': {'0': 0.045654296875, '1': 0.015106201171875, '2': -1.0, '3': 0.064361572265625, '4': -0.003265380859375, '5': 0.999969482421875, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},e503673473b7501a3851622abd070ee626305a717d0c7ce8c008ae2b96ab3ec68ba0f5075b4c77e0bb33c703e3
